"title","duration","copyright_date"
"ISTANBUL TWILIGHT","",""
"IT AIN T RIGHT","",""
"IT AIN'T HAPPENED YET","",""
"IT COULD BE","",""
"IT GOES BOTH WAYS","",""
"IT MUST BE GOOD","",""
"IT S ABOUT THAT TIME","",""
"IT S ABOUT YOU","",""
"IT S ALL REAL","",""
"IT S HARD BEING WIFEE","",""
"IT S IN MY BLOOD PT 2","",""
"IT S LIKE DAT","",""
"IT S MY LIFE","",""
"IT S NATURAL TO BE AFRAID (PAPER CHASE REMIX)","",""
"IT S NO STOPPING US","",""
"IT S NOT A GAME","",""
"IT S NOT RIGHT","",""
"IT S REALLY ALL ABOUT LOVE","",""
"IT S SO EASY TO LOVE YOU","",""
"IT S YOUR WORLD PART 2","",""
"IT WAS ALL A DREAM","",""
"ITS KINDRED","",""
"IT'S OKAY","",""
"JACKIN MATERIAL","",""
"JACKSON AVENUE","",""
"JACOB SPENCE","",""
"JAKUBU S DANCE","",""
"JANE MEETS NORE","",""
"JESUS","",""
"JIM HATS","",""
"JOB","",""
"JORDAN RIVER","",""
"JOSEPHINE","",""
"JOURNEY","",""
"JOURNEY","",""
"JOURNEY","",""
"JOY","",""
"JOY","",""
"JUMP THE LINE","",""
"JUMPING OFF AT THE JUMP OFF","",""
"JUST A FRIEND 2002","",""
"JUST A GIRL","",""
"JUST ALONG FOR THE RIDE","",""
"JUST ANOTHER CHRISTIAN","",""
"JUST ANOTHER NIGGA","",""
"JUST ANOTHER SETTING SUN","",""
"JUST FLY AWAY","",""
"JUST FOR ME","",""
"JUST FOR YOU","",""
"JUST LEAVE YOUR LOVE","",""
"JUST LIKE DOPE","",""
"JUST ONE OF THOSE DAYS","",""
"JUST REMEMBER","",""
"JUST UP THE ROAD","",""
"K I S S Y O U","",""
"KATIE'S WINTER LOVE","",""
"KEEP HOLDING ON","",""
"KEEP IT GOING","",""
"KEEP IT ON THE REAL","",""
"KEEP IT TOGETHER","",""
"KEEP LOVIN YOU","",""
"KEEP LOVIN YOU (REMIX)","",""
"KEEP ME LORD","",""
"KEEP ON","",""
"KEEP ON PRAISIN'","",""
"KEEP YOUR HEAD UP","",""
"KEEP YOUR HEAD UP","",""
"KERVORKIAN","",""
"KICK THAT GAME","",""
"KICK THIS","",""
"KIDNAP U","",""
"KIM","",""
"KING OF PAIN","",""
"KINGS COUNTY","",""
"KNOCK YER TEETH OUT","",""
"KNOW IT'S ALRIGHT","",""
"KNOW YOU","",""
"KUSH IS MY COLOGNE","",""
"L EXCURSION","",""
"L ODYSEE AFRICAINE","",""
"LA COSTRA NOSTRA","",""
"LA LA (INTRO)","",""
"LA LA SONG","",""
"LA MESHA","",""
"LADY IN WHITE","",""
"LADY LAY YOUR BODY","",""
"LAMB OF GOD","",""
"LAMENTATION","",""
"LARK ON MY GO-KART","",""
"LAST GOOD SLEEP","",""
"LAST GREYHOUND","",""
"LAST GREYHOUND","",""
"LAST MASS OF THE CABELLEROS","",""
"LATE NIGHT","",""
"LATER (BG CUES)","",""
"LAURA LIE","",""
"LAY IT DOWN","",""
"LAY THIS BROKEN HEART TO REST","",""
"LE BOOM VENT SUITE","",""
"LEAD YO HORSE","",""
"LEAP YEAR","",""
"LEAVIN","",""
"LEFT TO RIGHT","",""
"LEGENDS","",""
"LENCORCISM","",""
"LET IT ALL GO","",""
"LET IT GO","",""
"LET IT OUT","",""
"LET ME KNOW","",""
"LET ME KNOW IT S REAL","",""
"LET ME LOVE  YOU","00:04:45","8/17/2004"
"LET ME TELL IT (INCLUDE)","",""
"LET ME WATCH YOU","",""
"LET'S GO","",""
"LET'S MAKE IT NOW","",""
"LETS POP","",""
"LET'S RIDE","",""
"LET'S STAY HOME TONIGHT","",""
"LETS TAKE IT OVER","",""
"LEWOZ","",""
"LIBERATION","",""
"LICKING STICK","",""
"LIFE IN MY TOWN","",""
"LIFE IS SOMETHING SPECIAL","",""
"LIFE IS WHAT YOU MAKE IT","",""
"LIFE WITHOUT YOU","",""
"LIFE'S NOT PROMISED","",""
"LIGHT THE CANDLES (INTERLUDE)","",""
"LIGHT THE CANDLES (REPRISE)","",""
"LIKE A GANGSTA","",""
"LIKE DAT","",""
"LIKE HE DID IT BEFORE","",""
"LIKE I M INVISIBLE","",""
"LIKE IT","",""
"LIKE IT LIKE THAT","",""
"LIKE THE EAGLE BIRD","",""
"LIKE WHITNEY LOVES BOBBY","",""
"LIL NIGGA AIN T MINE","",""
"LIMOUSINE DRIVE (DRIVE ME CRAZY)","",""
"LINOLEUM","",""
"LISTEN","",""
"LISTEN TO YOUR HEART","",""
"LITTLE CABIN SONG","3:51","5/25/2004"
"LITTLE GIRL","",""
"LITTLE MORE TIME","",""
"LITTLE PIECE OF LAND","",""
"LITTLE STONE LAMBS","",""
"LIVE FROM THE PJS","",""
"LIVE TO LOVE","",""
"LIVIN' IT UP","0:2:54","11/25/2008"
"LIVING DUMB","",""
"LIVING FOR YOU","",""
"LIVING FOR YOU","",""
"LO QUE HAGO POR TU AMOR (DOING TOO MUCH)","0:04:06","8/29/2006"
"LONELY IN NIGHTS","",""
"LONELY WINDS","",""
"LONGING FOR THE OLD DAYS","",""
"LOOKIN","",""
"LOOSING YOU","",""
"LORD I M HERE WAITING","",""
"LORD YOU SAID IT","",""
"LORD YOU'RE WORTHY TO BE PRAISED","",""
"LOS PIESITOS","",""
"LOSS OF NICHE","",""
"LOST & FOUND","",""
"LOST IN ITALY","",""
"LOST IN THE MOMENT","",""
"LOST IN THE MOMENT","",""
"LOVE","",""
"LOVE ALWAYS BLUES","",""
"LOVE FOR AN ANGEL","",""
"LOVE HANGOVER","",""
"LOVE HURTS","",""
"LOVE IS HERE TO STAY","",""
"LOVE IS THE REASON","",""
"LOVE IS THE REFLECTION IN THE MIRRORS BEHIND YOUR EYES","",""
"LOVE IS YOU","",""
"LOVE KILLS PAIN ON CONTACT","",""
"LOVE LIKE THIS","",""
"LOVE ME","",""
"LOVE WE SHARE","",""
"LOVE YA MOMS","",""
"LOVERS LIE","",""
"LOVING THE DAY AWAY","",""
"LOVING YOU IS EASY","",""
"LSD","",""
"LUCKY GIRL (INTERLUDE)","",""
"LUCKY IN LOVE","",""
"LUV ME TONITE","",""
"MAC MAN","",""
"MACEDONIA","",""
"MACKIN VS PIMPIN","",""
"MAD AT MYSELF","",""
"MAD FLAVOR","",""
"MADRID","",""
"MAGIC KARPET RIDE","",""
"MAGIC RITUAL","",""
"MAGNIFCENT","",""
"MAJIC CHICK","",""
"MAKE A WAY","",""
"MAKE IT REIGN","",""
"MAKE ME CAREFUL","",""
"MAKE TODAY BEAUTIFUL","",""
"MAKES A MAN","",""
"MAKES ME FEEL LIKE DANCING","",""
"MAKING HAY","",""
"MAKING THE CUT (BG CUES)","",""
"MAKING THE CUT2 (BG CUES)","",""
"MAMBO RAP","",""
"MAMMA SAY A PRAYER","",""
"MAN O MAN","",""
"MARCH FOR THE MESSENGERS","",""
"MARY JANE","",""
"MASSIVE HEAT","",""
"MATRIARCH","",""
"MAYBE","",""
"MAYBE","",""
"ME YOU","",""
"MEAN MUG","",""
"MEANING OF A WOMAN","",""
"MEANT TO BE","",""
"MEDAL","",""
"MELANCHOLY MOOD","",""
"MELTDOWN","",""
"MEMBERS ONLY","",""
"MENAGE A TROIS","",""
"MENDE CHIRAJ","",""
"MESMERIZED","",""
"MESSAGE TO MARVIN","",""
"MIDDAY","",""
"MIDNIGHT X TA C","",""
"MIGHT SHE SHOOT","",""
"MIGHTY LONG WAY","",""
"MIGRATENATION","",""
"MILLENNIUM DANCE","",""
"MIND AND MOVEMENT","",""
"MIND ON THE ROAD","",""
"MIND SOOTHER","",""
"MISSING YOU","",""
"MISSING YOU","",""
"MISSION ACCOMPLISHED","",""
"MISTER SINISTER","",""
"MOB","",""
"MOB STYLE","",""
"MOBBIN THROUGH MY HOOD","",""
"MODEL CHICKZ","",""
"MONEY","",""
"MONEY AND POWER","",""
"MONEY MURDER AND SEX","",""
"MONKEY SHIT","",""
"MONROE","",""
"MORE FREAKY TALES","",""
"MORNING AFTER","",""
"MORNING SONG","",""
"MOTOYO","",""
"MOUNTAIN OF THE LORD","",""
"MOVE ON IT","00:03:35","8/17/2004"
"MOVE WITH ME","",""
"MOVIN ON","",""
"MOYA VENDETTA","",""
"MR CARTER","",""
"MR CEO","",""
"MR SHONUFF","",""
"MTA2: BAPTIZED IN DIRTY WATER","",""
"MTV CUT (BG CUES)","",""
"MUCH 2 MUCH","",""
"MUCHACHACHA","",""
"MULTI PHONIC BLUES","",""
"MURDAFEST","",""
"MURDER ME","",""
"MUSIC","",""
"MY ANGELINE","",""
"MY BROTHER MY ACE","",""
"MY CABBAGE","",""
"MY CHICK BAD","",""
"MY CHOICE","",""
"MY CREW CAN T GO FOR THAT","",""
"MY CUP","",""
"MY EVERYTHING","",""
"MY EX-GIRLFIREND","",""
"MY FIRST MISTAKE","",""
"MY HUSBAND MY DADDY","",""
"MY LADY AND MYSELF","",""
"MY LIFE (CRADLE TO THE GRAVE)","",""
"MY LIL DRINK","",""
"MY LOVE IS REAL","",""
"MY MESSAGE","",""
"MY NIGGAS","",""
"MY PLEASURE","",""
"MY PRAISE RIDICULOUS","",""
"MY PRECIOUS KING","",""
"MY ROPIN' DAYS ARE OVER","",""
"MY SHOES SURE KNOW HOW TO GET AROUND","",""
"MY SUFFICIENCY (IS ENOUGH WITH JESUS)","",""
"MY TIME","",""
"MY TIME TO GO","",""
"MY TURN TO DRIVE","",""
"MY TIME TO GO","",""
"MY WHOLE WORLD IN HIS HANDS","",""
"N THUGS WE TRUST","",""
"NAH MEAN","",""
"NAHMEANUHEARD","",""
"NEBRASKA SKY","",""
"NEBULA","",""
"NEVA","",""
"NEVA DIE ALONE","",""
"NEVER 2 LATE","",""
"NEVER BE THE SAME AGAIN","",""
"NEVER DID SHIT","",""
"NEVER EVER AGAIN","",""
"NEVER GET ENOUGH OF YOUR LOVE","",""
"NEVER GONNA LET YOU GO (SHE'S A KEEPER)","",""
"NEVER KNOWN","",""
"NEVER LET EM SEE YOU SWEAT","",""
"NEVER LET YOU GET AWAY","",""
"NEVER MET A GIRL","",""
"NEVER NOT WANT YOU","",""
"NEVER SAY GOODBYE","",""
"NEVER SAY NEVER AGAIN","",""
"NEVER TOO LATE","",""
"NEVER WIN AGAIN","",""
"NEW DIRECTION","",""
"NEW TESTAMENT OUTRO","",""
"NEW YORK TIME","",""
"NEXT BIG THING","",""
"NEXT EXPERIENCE","",""
"NEXT TIME","",""
"NICE AND SLOW","",""
"NICE TO MEET YA","",""
"NIGGA OF THE CENTURY","",""
"NIGHT DRIVE","",""
"NIGHT GROOVES","",""
"NIGHTS IN HARLEM","",""
"NITE L O C S","",""
"NO 1 CAN COMPARE","",""
"NO DARK TIMES","",""
"NO LOCK","",""
"NO LOVE LOST","",""
"NO MATTER","",""
"NO MONEY","",""
"NO ONE","",""
"NO ONE CAN LOVE YOU DEAR (THE WAY I DO)","",""
"NO ONE ELSE","00:03:26","9/17/2002"
"NO ONE LIKE YOU","",""
"NO ONE LIKE YOU","",""
"NO OTHER CHOICE","",""
"NO PAIN NO GAIN","",""
"NO STOPPIN","",""
"NO WAY","",""
"NO WAY (THE GA CHANT)","",""
"NOBODY","",""
"NOBODY BUT ME","",""
"NOBODY DO IT BETTER","",""
"NOCTURNAL MIST","",""
"NON A WHATCHA DO","",""
"NOODLE","",""
"NOT FOREVER","00:03:44","8/17/2004"
"NOT LIKE YOU DO","",""
"NOT YOUR AVERAGE JOE","",""
"NOTHIN 2 A BOSS","",""
"NOTHING BUT A WHIPPOORWILL","",""
"NOTHING DONE","",""
"NOTHING I WOULD CHANGE","",""
"NOTHING NEW","",""
"NOTHING S CHANGED","",""
"NOW A DAZE","",""
"NOW I PRAY","",""
"NOW IS THE TIME","",""
"NOW OR NEVER","",""
"NUBIAN","",""
"NUTCRACKER SUITE","",""
"NUTCRACKER SUITE 1","",""
"NUTCRACKER SUITE 2","",""
"O COME","",""
"OCTOBER IN LONDON, I FOUND","",""
"OH BOY","",""
"OH CHILDREN RISE","",""
"OH MY GOODNESS","",""
"OH MY GOSH","",""
"OH WHAT A NIGHT","",""
"OH YEAH","",""
"OHH LA LA","",""
"OILY","",""
"OLD SCHOOL THROWDOWN","",""
"OLD TESTAMENT INTRO","",""
"OLD TIME WAY","",""
"ON & POPPIN","",""
"ON A DAY LIKE THIS","",""
"ON MY WAY BACK HOME","",""
"ON SMASH","",""
"ON THE CUT","",""
"ON THE UP","",""
"ON THIS SPECIAL DAY","",""
"ONCE OR TWICE","",""
"ONCE WERE LOVERS","",""
"ONE DAY","",""
"ONE DAY AT A TIME","",""
"ONE IN A MILLION","",""
"ONE LIFE TO LIVE","",""
"ONE MAN BAND","",""
"ONE MORE FOR THE ROAD","",""
"ONE MORE HILL","",""
"ONE OF THESE DAYS","",""
"ONLY CLAVE","",""
"ONLY FOR YOU","",""
"ONLY HUMAN","",""
"ONLY ONE","",""
"OOH BABY","",""
"OOH LA LA","",""
"OOH OOH","",""
"OOH WEE WEE","",""
"OOPSY DAISY","",""
"OPEN YOUR EYES","",""
"OPEN YOUR EYES YOU CAN FLY","",""
"OPH","",""
"OREE ME","",""
"OREE ME II","",""
"OSYRIS RETURNS","",""
"OTHER SIDE OF ME","",""
"OTHER SIDE OF MIDNIGHT","",""
"OUR CHILD","",""
"OUR TIME IS NOW","",""
"OUR WAY","",""
"OUT","",""
"OUT FOR A WALK","",""
"OUT FOR JUST US","",""
"OUT FOR THE CASH","",""
"OUT THERE","",""
"OUTRO","",""
"OUTRO","",""
"OUTRO (SHOUT OUTS)","",""
"OUTTA SIGHT","",""
"OUTTA YA MIND","",""
"PABLO","",""
"PACIFIC TIME","",""
"PADJANBEL","",""
"PAIN TO THE PICTURE","",""
"PAIN TO THE PICTURE","",""
"PAPALE","",""
"PAPER CHASE","",""
"PARIE CHILD","",""
"PART OF THE NIGHT","",""
"PARTY AIN T OVER","",""
"PARTY S OVER","",""
"PASS THE 40","",""
"PATRIOTISM","",""
"PAY THE BILLS","",""
"PDK","",""
"PE LA","",""
"PEACE & QUIET","",""
"PEACE OF MIND","",""
"PEACEFUL THINKING","",""
"PEACHES N' ERB","",""
"PEOPLES COURT","",""
"PERFECTIONIST","",""
"PERSUADED","",""
"PETEY PABLO","",""
"PHILOSOPHY","",""
"PHONE SEX","",""
"PHOSPHENETIC","",""
"PILEAU","",""
"PIMP DA BITCH","",""
"PIMP SHIT","",""
"PIMP SLAPP D","",""
"PIMP THIS LOVE","",""
"PINNACLE OF JOY","",""
"PLACE TO PLACE","",""
"PLAY NO GAMES","",""
"PLAY YOUR CARDS RIGHT","",""
"PLAYA CARDZ RIGHT (FEMALE VERSION)","",""
"PLAYA CARDZ RIGHT (MALE VERSION)","",""
"PLAYA FEATURING NOCKO","00:04:22","1/1/2009"
"PLAYA HATA","",""
"PLAYA HATE","",""
"PLAYTHING","00:04:02","8/17/2004"
"PLEASE BELIEVE ME","",""
"PLEASE COME BACK","",""
"PLEEZBALEVIT","",""
"POCKET FULL OF DREAMS","",""
"POINTY TOE","",""
"POISON WELL","",""
"POISONOUS","",""
"POLICE BEAT","",""
"POLICE RUSH DA SPOT","",""
"POP DA COLLAR","",""
"POP OFF","",""
"POP S RAP PT 2","",""
"POP YOUR COLLAR","",""
"POP YOUR COLLARS TWO DIS","",""
"POPULARITY","",""
"POPULATION CONTROL","",""
"PORNO STAR","",""
"PORTRAIT OF LOIS MARIE","",""
"POSITIVE SUGGESTION","",""
"POWER","",""
"POWER AND GLORY","",""
"PRAISE AWAITS","",""
"PRAISE SONG","",""
"PRAISE YOUR HOLY NAME","00:04:34","6/1/1996"
"PRAISIN MY LORD/ I FEEL GOOD","",""
"PRAISIN' ON MY MIND","",""
"PRESSURE","",""
"PRESSURE","",""
"PRICE OF ADMISSION","",""
"PRIMADONNA","",""
"PROBLEM CHILD","",""
"PROBLEMS","",""
"PROMISE ME LOVE","",""
"PROMISE YOUR LOVE","",""
"PRONTO","",""
"PROPER NICE","",""
"PSALMS ONE","",""
"PUFFIN LAH","",""
"PUMPIN","",""
"PURE","",""
"PUSHA MAN","",""
"PUSHIN'","",""
"PUT YOUR HANDS UP","",""
"PYT","",""
"QUARTER MOON","",""
"QUEENS ANTHEM","",""
"QUEENS FINEST","",""
"QUIERO BAILAR","",""
"QUIERO TANGUITA","",""
"QUILLS","",""
"QUITTIN TIME","",""
"R&B SINGER","",""
"RACE AGAINST TIME","",""
"RAGS TO RICHES","",""
"RAH RAH","",""
"RAIDA S THEME","",""
"RAIN","00:03:55","8/13/1996"
"RAIN","",""
"RAINBOW","",""
"RAINDROPS","",""
"RAINTHREADS","",""
"RAP (REAL AFRICAN PEOPLE)","",""
"RAP A LOT MAFIA","",""
"RAP GAME","",""
"REACTION","",""
"READ MY MIND","",""
"REAL","",""
"REAL IN THE FIELD","",""
"REAL NIGGAS","",""
"REAL OR FAKE NIGGAZ","",""
"REAL SHIT","",""
"REALITY (KILLING EVERY…)","",""
"RECOGNIZE GAME","",""
"RED EARTH","",""
"REGGAE VIBE","",""
"REGIME KILLERS 2001","",""
"REGIME MOBSTAZ","",""
"REMEDY","",""
"REMEMBER","",""
"REMEMBER TO BREATHE","",""
"REPETITION","",""
"REST OF MY LIFE","",""
"RESTLESS WIND","",""
"RESTORE MY SOUL","",""
"REV DO WRONG","",""
"REVEREND DO WRONG","",""
"REVOLVERLUTION","",""
"RHYTHM OF LIFE","",""
"RHYTHM OF THE EARTH","",""
"RIDAZ","",""
"RIDAZ WITH ME","",""
"RIDIN HIGH","",""
"RIGHTFULLY SO","",""
"RISE ABOVE","",""
"RISE ABOVE","",""
"RISING TIDE","",""
"RITE OF PASSAGE","",""
"ROC ARMY","",""
"ROCK & ROLL","",""
"ROCK N JOCK B BALL (BG CUE2)","",""
"ROCK WITH ME","",""
"ROCKY ROAD","",""
"ROLEX RULEZ","",""
"ROLLIN","",""
"ROLLING HILLS","",""
"ROUND AND ROUND","",""
"ROXANN","",""
"RUMBO IN THE JUNGO","",""
"RUN","",""
"RUN NIGGA","",""
"RUN YO SHIT","",""
"RUSH THE COAT ROOM","",""
"RYE WHISKEY","",""
"SACRIFICE MY LIFE","",""
"SAD MILLIONAIRE","",""
"SADDER DAY","",""
"SAFARI","",""
"SALVATION","",""
"SAME OLD PLACE","",""
"SAME SHIT DIFFERENT DAY","",""
"SANDCASTLES","",""
"SAVANNAH","",""
"SAVE YOUR HEART","",""
"SAX MACHINE","",""
"SAXUAL","",""
"SAY GOODNIGHT","",""
"SAY IT NOW","",""
"SAY THE WORD","",""
"SAY WHAATT","",""
"SAY WHAT","",""
"SAY WHAT YOU FEEL","",""
"SAY WHAT YOU WANT","",""
"SCALE OF SACRAFICE","",""
"SCANDALOUS","",""
"SCANDALOUS","",""
"SCIENCE","",""
"SCIROCCO","",""
"SCOFUSED","",""
"SCRAP METAL","",""
"SCRATCH GRAVEL ROAD","",""
"SCREWED UP","",""
"SEARCH MY HEART","",""
"SEASONED","",""
"SEASONS","",""
"SEASONS 2000","",""
"SECOND CHANCE","",""
"SECRET INDICTMENT","",""
"SECRET PLACE","",""
"SECRET PLACE","",""
"SECRETS","",""
"SELF EXPLANATORY","",""
"SELFISH WAYS","",""
"SEND ME YOUR FEELINGS","",""
"SERPENTINE FIRE","",""
"SET FREE","",""
"SEXY EYES","",""
"SEXY SOMETHIN","",""
"SHADES","",""
"SHADES OF BAHIA","",""
"SHADOWS DROWN","",""
"SHADOWS OF LOVE","",""
"SHAKE N POP ROLL","",""
"SHATTERED","",""
"SHE CAN T HELP IT","",""
"SHE OUGHT TO KNOW","",""
"SHE USED 2 LUV ME","",""
"SHERIFF DROPPED BY","",""
"SHIKOU SAKUGO","",""
"SHINE","",""
"SHIT DON'T STOP","",""
"SHOOT EM UP","",""
"SHORTIE","",""
"SHOTE","",""
"SHOULDA TOOK A TRAIN","",""
"SHOUT IT OUT","",""
"SHOW ME","",""
"SHUT IT DOWN","",""
"SHUT UP","",""
"SIDE STEP","",""
"SIERRA LEONE","",""
"SILENCE","",""
"SILENT NOCTURNAL","",""
"SILENT THOUGHTS","",""
"SILLY NIGGAZ","",""
"SILVER BUTTONS","",""
"SIMPLY A MAN","",""
"SINCE I VE BEEN CHANGED","",""
"SINCE YOU AIN'T AROUND","",""
"SINCE YOU CAME MY WAY","",""
"SINCE YOU VE BEEN GONE","",""
"SINCERELY YOURS","",""
"SING A SONG","",""
"SING A SONG","",""
"SING MY SONG","",""
"SIRIUS SYSTEM","",""
"SISTERS AND BROTHERS","",""
"SIT DOWN","",""
"SIXTEEN CENTS","",""
"SKA TREK","",""
"SKATEBOARDER BLUES","",""
"SLIM CHANCES","",""
"SLIMS INTRO","",""
"SLO-MO IN THE GROTTO","",""
"SLOW BURN","",""
"SLOW DRAG","",""
"SLOW LANE","",""
"SMILE","",""
"SMOKESTRUMENTAL","",""
"SMOOTH STYLE","",""
"SNEAK A FREAK","",""
"SNEAKERS FOR JIMMY","",""
"SNOBIRD","",""
"SNOW","",""
"SNS/ROLAND (SKIT)","",""
"SO GLAD IT'S CHRISTMAS","",""
"SO GONE (WHAT MY MIND SAYS)","00:04:40","7/1/2001"
"SO HOT","",""
"SO IGNORANT","",""
"SO IN LOVE","",""
"SO LOW","",""
"SO MANY TEARS","",""
"SO MUCH BETTER","",""
"SO NOW YOU KNOW","",""
"SO QUICK SO EASY","",""
"SO WHATCHA GOING TO DO NOW?","",""
"SOLDIER","",""
"SOME DAY","00:01:59","1/19/2010"
"SOMEBODY","",""
"SOMEBODY ELSE MIGHT","",""
"SOMEBODY GONE DIE 2 NITE","",""
"SOMEBODY TOLD ME ABOUT JESUS","",""
"SOMEBODY'S GONNA LET YOU DOWN","",""
"SOMEDAY","",""
"SOMEONE LIKE YOU","",""
"SOMETHING ABOUT YOU","",""
"SOMETHING BETTER","",""
"SOMETHING INSDIE OF ME","",""
"SOMETHING LIKE A MODEL","",""
"SOMETHING REAL","",""
"SOMETHING WITHIN ME","",""
"SOMETHINGS GOTTA GIVE","",""
"SOMETIMES","",""
"SOMEWHERE LISTENING","",""
"SON OF A BUSH","",""
"SONE KA-LA","",""
"SONG 20","",""
"SONG FOR ME","",""
"SONG WITHOUT WORDS","",""
"SOON","",""
"SOOO COMFORTABLE","",""
"SOOPAMAN LUVA 6 PART 2","",""
"SORROW AIN'T FAR BEHIND","",""
"SORRY THAT I","",""
"SOSOS","",""
"SOUL","",""
"SOUTH SIDE SAMBA","",""
"SOUTHERN COMFORT","",""
"STAY","",""
"SPANKY S SONG","",""
"SPEND IT ON YA","",""
"SPEND MO TIME","",""
"SPEND THE NIGHT","",""
"SPIT","",""
"SPLACKAVELLIE","",""
"SPREAD THE WORD","",""
"STAGE FRIGHT","",""
"STALLION","",""
"STAND IN MY WAY","",""
"STAND ON UP","",""
"STAND STILL","",""
"STAND UP","",""
"STAND UP NUCCA","",""
"STANKONIA","",""
"STAN'S SONG","",""
"STAR FOR LIFE","",""
"STARS","",""
"STAY PERKIN","",""
"STAY REAL","",""
"STAY TRUE","",""
"STAY WITH ME","",""
"STAY WITH ME (BY THE SEA)","",""
"STEALING","",""
"STEP ASIDE","",""
"STEPPIN WITH THE LORD","",""
"STILL BALLIN","",""
"STILL CAN T STOP THE REIGN","",""
"STILL CLIMBING MOUNTAINS","",""
"STILL COUNTIN MY CASH","",""
"STILL HERE","",""
"STILL THE SAME","",""
"STOP THE TALK","",""
"STOP TO PRAISE GOD","",""
"STOP YALL","",""
"STORM","",""
"STORY GOES","",""
"STRAIGHT LIKE THAT","",""
"STRAIGHT OUTTA QB","",""
"STRAY","",""
"STRAYED AWAY","",""
"STREET FAME","",""
"STREET HERO (SKIT)","",""
"STREET MONEY","",""
"STREETS TO DA STAGE","",""
"STRIP","",""
"STRUGGLE NO MORE","",""
"STUNTASTIC","",""
"STYLIN","",""
"SUCKA FREE","",""
"SUCKA THANK HE CUD WHUP ME","",""
"SUCKIN FUCKIN","",""
"SUDDEN DEATH","",""
"SUFFICIENT GRACE","",""
"SUGAR","",""
"SUMMER IN THE CITY","",""
"SUMMER RAIN","",""
"SUN DON T SHINE","",""
"SUNRISE","",""
"SUNSHINE","",""
"SUPER AGENT","",""
"SUPER SAUCY","",""
"SUPERMAN","",""
"SUPERSTAR","",""
"SUPERSTAR (FAMOUSO)","",""
"SURE FEELS GOOD","",""
"SURRENDER TO LOVE","",""
"SURVIVOR","",""
"SUZY PULLED A PISTOL ON HENRY","",""
"SWAGGA BACK","",""
"SWAZY","",""
"SWEET BABY","",""
"SWEET BABY","",""
"SWEET DELITE","",""
"SWEET DREAMS","",""
"SWINDERLERS LUST","",""
"TAKE A TOUR","",""
"TAKE CARE OF ME","",""
"TAKE ME BACK","",""
"TAKE ME OVER","",""
"TAKE YA SHOES OFF","",""
"TAKE YOU OUT","",""
"TAKE YOU OUT (REMIX)","",""
"TAKE YOUR TIME","",""
"TAKE YOUR TIME","",""
"TAKIN IT WITH ME","",""
"TALES OF A HUSTLER II","",""
"TALK IT OUT","",""
"TALK SHOW CREATED THE FOOL","",""
"TALKING TO HIMSELF","",""
"TALKING TO MYSELF","",""
"TASTE THIS","",""
"TEACHME","",""
"TEASE","",""
"TELL HIM","",""
"TELL IT LIKE IT IS","",""
"TELL IT LIKE IT IS","",""
"TELL ME THE HURT","",""
"TELL ME WHY","",""
"TEMPERATURE","",""
"TEMPORARY RELIEF","",""
"TENNESSEE","",""
"TEST MY FAITH","",""
"THADIUS STAR","",""
"THANK YOU","",""
"THANK YOU","",""
"THANK YOU","",""
"THANK YOU FOR MY BABY","",""
"THAT GIRL STEPH","",""
"THAT MOMENT BEFORE CRAZY","",""
"THAT RING","",""
"THAT S HOW I GO","",""
"THATS ALRIGHT (BECAUSE I GOT YOU)","",""
"THAT'S HOW HE SAVED ME","",""
"THATS HOW WE DO IT","",""
"THATS JUST MY WAY","",""
"THE ASSIGNMENT","",""
"THE BABY MAKER","",""
"THE BABY SONG","",""
"THE BELLS KEEP RINGING","",""
"THE BIO","",""
"THE BRIDE","",""
"THE CARNAGE","",""
"THE CARRIBEAN EXPRESS","",""
"THE CHAINS","",""
"THE CHILD AND THE WARLOCK","",""
"THE CLOSER I GET TO YOU","",""
"THE COLOUR OF FEAR","",""
"THE COUNTDOWN","",""
"THE COUNTDOWN PART 2","",""
"THE DAY THAT I DIED","",""
"THE FEAR","",""
"THE FUNK AIN T BROKE","",""
"THE G SPOT","",""
"THE GAME","",""
"THE GAMES REAL","",""
"THE GHETTO","",""
"THE GROUND IS LEVEL AT THE FOOT OF THE CROSS","",""
"THE GYPSY","",""
"THE HOOD IS HERE","",""
"THE HUSTLE","",""
"THE INTRO","",""
"THE INVITATION","",""
"THE LADY IN WHITE","",""
"THE LATE GREAT BLACKMAN PT. 1","",""
"THE LATE GREAT BLACKMAN PT. II","",""
"THE LIFE AND TIMES OF LOVE","",""
"THE LIGHT OF THE SUN","",""
"THE LOOP","",""
"THE LORD HAS BEEN GOOD","",""
"THE MAN I'M TRYIN TO BE","",""
"THE MILLIONAIRE","",""
"THE MOVEMENT","",""
"THE MOVIE","",""
"THE NEXT BIG THING","",""
"THE ONE","",""
"THE PAYBACK","",""
"THE PERFECT DAY","",""
"THE PLEDGE (REMIX)","",""
"THE PRAYER","",""
"THE QUEEN","",""
"THE REGULATORS","",""
"THE RHYTHM AND THE PRAISE (THE TRADEMARK)","",""
"THE SACRED MOUNTAIN","",""
"THE SPECIALIST","",""
"THE STARS ABOVE","",""
"THE STRUGGLE","",""
"THE TEST OF TIME","",""
"THE TOP OF MY HEAD","",""
"THE TOWNSHIP DIARY","",""
"THE TRUTH","",""
"THE WARNING","",""
"THE WAY","",""
"THE WHOLE NINE","",""
